Key,en | English (UK),zh | Chinese (Simplified),de | German,it | Italian,pt | Portuguese (Brazil),ro | Romanian,da | Danish,es | Spanish,fr | French,tr | Turkish
signUp.subHeadline,"Scan QR code to sign up or log in on your mobile.",扫描二维码进行注册或在手机上登录。,"Scannen Sie den QR code, um sich mit ihrem Handy zu registrieren oder einzuloggen.",Scansiona il codice QR per iscriverti o accedi dal tuo cellulare.,Escaneie o código QR para se registrar ou faça login no seu celular.,Scanați codul QR pentru a vă înscrie sau conectați-vă de pe telefonul mobil.,Scan QR-koden for at tilmelde dig eller log ind på din mobil.,Escanea el código QR para registrarte o inicia sesión en tu móvil.,Scannez le code QR pour vous inscrire ou vous connecter sur votre téléphone portable.,Kaydolmak için QR kodunu tarayın veya mobil cihazınızda oturum açın.
whatsNew.title, A4lCloud, 云QR, A4lCloud, A4lCloud, A4lCloud, A4lCloud, A4lCloud, A4lCloud, A4lCloud, A4lCloud
whatsNew.whatsNew, "What's new?",新功能,"Was gibt’s Neues?","Cosa c'è di nuovo?",O que há de novo?,Ce este nou?,Hvad er det nye?,¿Qué hay de nuevo?,Quoi de neuf ?,Ne gibi yenilikler var?
whatsNew.headline, "Here you'll find an overview of the latest Cloud features and improvements and a recap of recently squashed bugs.",在这里，您将找到最新云功能和改进的概述以及最近修复的错误的摘要。,"Hier finden Sie eine Übersicht über die neuesten Cloud-Funktionen und -Verbesserungen sowie eine Zusammenfassung der kürzlich behobenen Fehler.",Qui troverai una panoramica delle ultime funzionalità e miglioramenti di Cloud e un riepilogo dei bug recentemente risolti.,Aqui você encontrará uma visão geral dos recursos e melhorias mais recentes do Cloud e um resumo dos bugs recentemente corrigidos.,Aici veți găsi o prezentare generală a celor mai recente caracteristici și îmbunătățiri ale Cloud și un rezumat al erorilor rezolvate recent.,Her finder du et overblik over de nyeste Cloud-funktioner og forbedringer samt en opsummering af nyligt løste fejl.,Aquí encontrará una descripción general de las últimas funciones y mejoras de Cloud y un resumen de los errores recientemente solucionados.,"Vous trouverez ici un aperçu des dernières fonctionnalités et améliorations de Cloud ainsi qu'un récapitulatif des bogues récemment corrigés.",Burada en son Bulut özellikleri ve iyileştirmeleri ve yakın zamanda çözülen hataların özetini bulacaksınız.
whatsNew.heroDate, "AUGUST 15, 2023", 2023年8月15日,"15. AUGUST 2023","15 AGOSTO 2023","15 DE AGOSTO DE 2023","15 AUGUST 2023","15. AUGUST 2023","15 DE AGOSTO DE 2023","15 AOÛT 2023","15 AĞUSTOS 2023"
whatsNew.title1, Track & Trace + 30 Improvements, Track & Trace + 30 个改进, Track & Trace + 30 Verbesserungen, Track & Trace + 30 Miglioramenti, Track & Trace + 30 Melhorias, Track & Trace + 30 îmbunătățiri, Track & Trace + 30 Forbedringer, Track & Trace + 30 Mejoras, Track & Trace + 30 Améliorations, Track & Trace + 30 İyileştirme
whatsNew.subtitle1, 1 Feature · 30 Improvements, 1 个功能 · 30 个改进, 1 Funktion · 30 Verbesserungen, 1 Funzionalità · 30 Miglioramenti, 1 Recurso · 30 Melhorias, 1 Caracteristică · 30 îmbunătățiri, 1 Funktion · 30 Forbedringer, 1 Función · 30 Mejoras, 1 Fonctionnalité · 30 Améliorations, 1 Özellik · 30 İyileştirme
whatsNew.description1, "In August, we officially added Track and Trace. A way for you to track your products from supplier, to wear-house, to the store. Overseeing each step in",,,,,,,,,,
whatsNew.list1item1, Scan products within boxes, 扫描盒内产品, Produkte innerhalb von Boxen scannen, Scansiona i prodotti all'interno delle scatole, Digitalize produtos dentro de caixas, Scanați produsele din cutii, Scan produkter inden i kasser, Escanear productos dentro de cajas, Numérisez les produits dans les boîtes, Kutular içindeki ürünleri tarayın
whatsNew.list1item2, "Track products from supplier, to wear-house, to consumer.", 跟踪产品从供应商到仓库到消费者。,Produkte vom Lieferanten über das Lager bis zum Verbraucher verfolgen.,"Traccia i prodotti dal fornitore, all'usura, al consumatore.", "Rastreie produtos do fornecedor, ao desgaste, ao consumidor.", "Urmăriți produsele de la furnizor, la uzură, la consumator.","Spor produkter fra leverandør, til slid, til forbruger.","Rastrear productos desde el proveedor, hasta el desgaste, hasta el consumidor.","Suivre les produits du fournisseur à l'usure, au consommateur.","Tedarikçiden, tüketiciye kadar ürünleri takip edin."
whatsNew.list1item3, Enjoy 30+ more improvements., 享受 30 多项改进。, Genießen Sie 30+ weitere Verbesserungen.,Goditi oltre 30 miglioramenti.,Aproveite mais de 30 melhorias., Bucurați-vă de peste 30 de îmbunătățiri., Nyd 30+ flere forbedringer., Disfruta de más de 30 mejoras., Profitez de plus de 30 améliorations., 30'dan fazla iyileştirmeden yararlanın.
whatsNew.date2, "JULY 9, 2023", 2023年7月9日,"9. JULI 2023","9 LUGLIO 2023","9 DE JULHO DE 2023","9 JULY 2023","9. JULI 2023","9 DE JULIO DE 2023","9 JUILLET 2023","9 TEMMUZ 2023"
whatsNew.title2, Products Alerts + 10 Improvements, 产品警报 + 10 个改进, Produkte Warnungen + 10 Verbesserungen, Avvisi sui prodotti + 10 Miglioramenti, Alertas de produtos + 10 Melhorias, Alertă produse + 10 îmbunătățiri, Produktalarmer + 10 Forbedringer, Alertas de productos + 10 Mejoras, Alertes produits + 10 Améliorations, Ürün Uyarıları + 10 İyileştirme
whatsNew.subtitle2, 1 Feature · 10 Improvements, 1 个功能 · 10 个改进, 1 Funktion · 10 Verbesserungen, 1 Funzionalità · 10 Miglioramenti, 1 Recurso · 10 Melhorias, 1 Caracteristică · 10 îmbunătățiri, 1 Funktion · 10 Forbedringer, 1 Función · 10 Mejoras, 1 Fonctionnalité · 10 Améliorations, 1 Özellik · 10 İyileştirme
whatsNew.description2, "In July, we added a feature that will notify you when products appear where they shouldn’t. You will then be able to find the distributor at fault and fix the issue.",,,,,,,,,,
whatsNew.list2item1, "Get immediate notifications about your products.", 立即收到有关您产品的通知。, Erhalten Sie sofortige Benachrichtigungen über Ihre Produkte.,Ricevi notifiche immediate sui tuoi prodotti.,Receba notificações imediatas sobre seus produtos.,Primiți notificări imediate despre produsele dvs.,Få øjeblikkelige meddelelser om dine produkter.,Reciba notificaciones inmediatas sobre sus productos.,Recevez des notifications immédiates sur vos produits.,Ürünlerinizle ilgili anında bildirimler alın.
whatsNew.list2item2, Contact distributers directly., 直接联系分销商。, Kontaktieren Sie die Distributoren direkt.,Contatta direttamente i distributori.,Entre em contato diretamente com os distribuidores.,Contactați distribuitorii direct.,Kontakt distributører direkte.,Contacte directamente a los distribuidores.,Contactez directement les distributeurs.,Distribütörlerle doğrudan iletişime geçin.
whatsNew.list2item3, Plus 10 overall app improvements., 另外 10 个应用程序改进。, Plus 10 allgemeine App-Verbesserungen.,Più 10 miglioramenti generali dell'app.,Mais 10 melhorias gerais no aplicativo.,Plus 10 îmbunătățiri generale ale aplicației.,Plus 10 samlede app-forbedringer.,Más 10 mejoras generales de la aplicación.,Plus 10 améliorations générales de l'application.,Toplam 10 uygulama iyileştirmesi.
whatsNew.date3, "JUNE 16, 2023", 2023年6月16日,"16. JUNI 2023","16 GIUGNO 2023","16 DE JUNHO DE 2023","16 JUNE 2023","16. JUNI 2023","16 DE JUNIO DE 2023","16 JUIN 2023","16 HAZİRAN 2023"
whatsNew.title3, Introducing QR Coin, 介绍 QR Coin, Einführung von QR Coin, Introduzione di QR Coin, Introdução do QR Coin, Introducerea QR Coin, Introduktion af QR Coin, Presentación de QR Coin, Introduction de QR Coin, QR Coin Tanıtımı
whatsNew.subtitle3, 1 Feature · 1 Improvement · 7 Bug Fixes, 1 个功能 · 1 个改进 · 7 个错误修复, 1 Funktion · 1 Verbesserung · 7 Fehlerbehebungen, 1 Funzionalità · 1 Miglioramento · 7 Bug Fix, 1 Recurso · 1 Melhoria · 7 Correções de bugs, 1 Caracteristică · 1 îmbunătățire · 7 Corecții de erori, 1 Funktion · 1 Forbedring · 7 Fejlrettelser, 1 Función · 1 Mejora · 7 Correcciones de errores, 1 Fonctionnalité · 1 Amélioration · 7 Corrections de bugs, 1 Özellik · 1 İyileştirme · 7 Hata Düzeltmesi
whatsNew.description3, "In June, we added a new feature called QR Coin. This allows users to collect coins and ultimately cash, just by scanning and logging your products.",,,,,,,,,,
whatsNew.list3item1, Scan and get cash, 扫描并获得现金, Scannen und Bargeld erhalten,Scansiona e ottieni denaro, Digitalize e receba dinheiro, Scanați și obțineți bani, Scan og få kontanter, Escanear y obtener dinero en efectivo, Numérisez et obtenez de l'argent, Tarama ve nakit para alın
whatsNew.list3item2, Encourage users to participate in the tracking of your products., 鼓励用户参与跟踪您的产品。, "Ermutigen Sie die Benutzer, an der Verfolgung Ihrer Produkte teilzunehmen.",Incentiva gli utenti a partecipare al monitoraggio dei tuoi prodotti.,Incentive os usuários a participarem do rastreamento de seus produtos.,Încurajați utilizatorii să participe la urmărirea produselor dvs.,Opfordre brugere til at deltage i sporingen af dine produkter.,Anime a los usuarios a participar en el seguimiento de sus productos.,Encouragez les utilisateurs à participer au suivi de vos produits.,Kullanıcıları ürünlerinizin takibine katılmaya teşvik edin.
whatsNew.list3item3, Enjoy more reliable information., 享受更可靠的信息。, Genießen Sie zuverlässigere Informationen.,Goditi informazioni più affidabili.,Aproveite informações mais confiáveis.,Bucurați-vă de informații mai fiabile.,Nyd mere pålidelig information.,Disfruta de información más confiable.,Profitez d'informations plus fiables.,Daha güvenilir bilgilerin tadını çıkarın.
whatsNew.date4, "MAY 27, 2023", 2023年5月27日,"27. MAI 2023","27 MAGGIO 2023","27 DE MAIO DE 2023","27 MAY 2023","27. MAI 2023","27 DE MAYO DE 2023","27 MAI 2023","27 MAYIS 2023"
whatsNew.title4, Label Puzzle + 18 Improvements, 标签拼图 + 18 个改进, Label Puzzle + 18 Verbesserungen, Puzzle di etichette + 18 Miglioramenti, Quebra-cabeça de etiqueta + 18 Melhorias, Puzzle de etichete + 18 îmbunătățiri, Etiket puslespil + 18 Forbedringer, Rompecabezas de etiquetas + 18 Mejoras, Puzzle d'étiquettes + 18 Améliorations, Etiket Bulmaca + 18 İyileştirme
whatsNew.subtitle4, 1 Feature · 18 Improvements, 1 个功能 · 18 个改进, 1 Funktion · 18 Verbesserungen, 1 Funzionalità · 18 Miglioramenti, 1 Recurso · 18 Melhorias, 1 Caracteristică · 18 îmbunătățiri, 1 Funktion · 18 Forbedringer, 1 Función · 18 Mejoras, 1 Fonctionnalité · 18 Améliorations, 1 Özellik · 18 İyileştirme
whatsNew.description4, "In May, we created a new way to unlock digital content on print labels. Engage children and adults through a QR Code generated game that unlocks exclusive content.",,,,,,,,,,
whatsNew.list4item1, Users scan the the QR Code on the product., 用户扫描产品上的二维码。, Benutzer scannen den QR-Code auf dem Produkt.,Gli utenti scansionano il codice QR sul prodotto.,Os usuários digitalizam o código QR no produto.,Utilizatorii scanează codul QR de pe produs.,Brugere scanner QR-koden på produktet.,Los usuarios escanean el código QR del producto.,Les utilisateurs scannent le code QR sur le produit.,Kullanıcılar üründeki QR Kodu tarar.
whatsNew.list4item2, Play the game and unlock exclusive content., 玩游戏并解锁独家内容。, Spielen Sie das Spiel und entsperren Sie exklusive Inhalte.,Gioca al gioco e sblocca contenuti esclusivi.,Jogue o jogo e desbloqueie conteúdo exclusivo.,Jucați jocul și deblocați conținut exclusiv.,Spil spillet og lås eksklusivt indhold op.,Juega el juego y desbloquea contenido exclusivo.,Jouez au jeu et débloquez du contenu exclusif.,Oyunu oynayın ve özel içeriği kilitleyin.
whatsNew.list4item3, Also 18+ improvements within the platform., 平台内还有 18+ 项改进。, Auch 18+ Verbesserungen innerhalb der Plattform.,Inoltre 18+ miglioramenti all'interno della piattaforma.,"Além disso, 18+ melhorias na plataforma.","De asemenea, 18+ îmbunătățiri în cadrul platformei.",Også 18+ forbedringer inden for platformen.,También 18+ mejoras dentro de la plataforma.,Également 18+ améliorations au sein de la plateforme.,Ayrıca platform içinde 18+ iyileştirme.
whatsNew.date5, "APRIL 27, 2023", 2023年4月27日,"27. APRIL 2023","27 APRILE 2023","27 DE ABRIL DE 2023","27 APRIL 2023","27. APRIL 2023","27 DE ABRIL DE 2023","27 AVRIL 2023","27 NİSAN 2023"
whatsNew.title5, Protect Torn Labels + 4 Bug Fixes, 保护撕裂标签 + 4 个错误修复, Schützen Sie zerrissene Etiketten + 4 Fehlerbehebungen, Proteggi etichette strappate + 4 correzioni di bug, Proteja etiquetas rasgadas + 4 correções de bugs, Protejați etichetele rupte + 4 corecții de erori, Beskyt revnede etiketter + 4 fejlrettelser, Proteja las etiquetas rasgadas + 4 correcciones de errores, Protégez les étiquettes déchirées + 4 corrections de bugs, Yırtık Etiketleri Koruyun + 4 Hata Düzeltmesi
whatsNew.subtitle5, 1 Feature · 4 Bug Fixes, 1 个功能 · 4 个错误修复, 1 Funktion · 4 Fehlerbehebungen, 1 Funzionalità · 4 correzioni di bug, 1 Recurso · 4 correções de bugs, 1 Caracteristică · 4 corecții de erori, 1 Funktion · 4 fejlrettelser, 1 Función · 4 correcciones de errores, 1 Fonctionnalité · 4 corrections de bugs, 1 Özellik · 4 Hata Düzeltmesi
whatsNew.description5, "In April, we launched our new protection feature, that secures your products and labels even if they are tampered with or damaged:",,,,,,,,,,
whatsNew.list5Item1, Incorporate invisible security dots into your labels., 将不可见的安全点纳入您的标签中。, Unsichtbare Sicherheitspunkte in Ihre Etiketten einarbeiten.,Incorpora punti di sicurezza invisibili nelle tue etichette.,Incorpore pontos de segurança invisíveis em seus rótulos.,Incorporați puncte de securitate invizibile în etichetele dvs.,Indarbejd usynlige sikkerhedspunkter i dine etiketter.,Incorpore puntos de seguridad invisibles en sus etiquetas.,Incorporez des points de sécurité invisibles dans vos étiquettes.,Etiketlerinize görünmez güvenlik noktaları dahil edin.
whatsNew.list5item2, Protect products when labels are damaged., 当标签损坏时保护产品。, "Schützen Sie Produkte, wenn Etiketten beschädigt sind.",Proteggi i prodotti quando le etichette sono danneggiate.,Proteja produtos quando os rótulos estiverem danificados.,Protejați produsele atunci când etichetele sunt deteriorate.,"Beskyt produkter, når etiketter er beskadiget.",Proteja los productos cuando las etiquetas estén dañadas.,Protégez les produits lorsque les étiquettes sont endommagées.,Etiketler hasar gördüğünde ürünleri koruyun.
whatsNew.list5item3, Enjoy 4 bug fixes., 享受 4 个错误修复。, Genießen Sie 4 Fehlerbehebungen.,Goditi 4 correzioni di bug.,Aproveite 4 correções de bugs.,Bucurați-vă de 4 corecții de erori.,Nyd 4 fejlrettelser.,Disfruta de 4 correcciones de errores.,Profitez de 4 corrections de bugs.,4 hata düzeltmesinden yararlanın.
