Key,en | English (UK),zh | Chinese (Simplified),de | German,it | Italian,pt | Portuguese (Brazil),ro | Romanian,da | Danish,es | Spanish,fr | French,tr | Turkish
system.danish,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk
system.french,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français
system.turkish,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe,Türkçe
system.germany,Germany,德国,Deutschland,Germania,Alemão,Germania,Tyskland,Alemania,Allemagne,Almanya
system.other,Other,其他,Andere,Altro,Outros,Altele,Andet,Otros,Autre,Diğer
system.none,None,其他,Keine,Nessuno,Nenhum,Nici unul,Ingen,Ninguno,Aucun,Hiçbiri
system.termsOfService,Terms of Service,用户使用条款,Nutzungsbedingungen,Termini di servizio,Termos de Serviço,Termeni și condiții de utilizare,Vilkår for brug,Condiciones de uso,Conditions d'utilisation,Hizmet Koşulları
system.connectYourDomain, Connect your domain, 连接您的域名, Verbinden Sie Ihre Domain, Connetti il tuo dominio, Conecte seu domínio, Conectați domeniul dvs., Forbind dit domæne, Conecta tu dominio, Connectez votre domaine, Alan adınızı bağlayın
system.yourDomainProvider, Your domain provider, 您的域名提供商, Ihr Domain-Anbieter, Il tuo provider di domini, Seu provedor de domínio, Furnizorul dvs. de domeniu, Din domæneudbyder, Su proveedor de dominio, Votre fournisseur de domaine, Alan adı sağlayıcınız
system.instructions, Instructions, 说明, Anweisungen, Istruzioni, Instruções, Instrucțiuni, Instruktioner, Instrucciones, Instructions, Talimatlar
system.copy, Copy, 复制, Kopieren, Copia, Copiar, Copiază, Kopier, Copiar, Copier, Kopyala
system.errorGrantingAccess,Error granting access,授予访问权限时出错,Fehler beim Gewähren des Zugriffs,Errore durante la concessione dell'accesso,Erro ao conceder acesso,Eroare la acordarea accesului,Fejl ved tildeling af adgang,Error al otorgar acceso,Erreur lors de l'octroi de l'accès,Erişim izni verilirken hata oluştu
system.errorRemovingAccess,Error removing access,删除访问权限时出错,Fehler beim Entfernen des Zugriffs,Errore durante la rimozione dell'accesso,Erro ao remover o acesso,Eroare la eliminarea accesului,Fejl ved fjernelse af adgang,Error al eliminar el acceso,Erreur lors de la suppression de l'accès,Erişim kaldırılırken hata oluştu
system.emailAddress,Email address,电子邮件地址,E-Mail-Adresse,Indirizzo e-mail,Endereço de email,Adresa de e-mail,Email adresse,Dirección de correo electrónico,Adresse e-mail,E-posta adresi
system.phoneNumber,Phone number,电话号码,Telefonnummer,Numero di telefono,Número de telefone,Număr de telefon,Telefonnummer,Número de teléfono,Numéro de téléphone,Telefon numarası
system.gotIt, "Ok, got it", "好的，知道了", "Ok, verstanden", "Ok, capito", "Ok, entendi", "Ok, am înțeles", "Ok, forstået", "Ok, entendido", "Ok, compris", "Tamam, anladım"
system.okay, Okay, 好的, Okay, Okay, Okay, Okay, Okay, Okay, Okay, Tamam
system.darkMode, Dark Mode, 暗黑模式, Dunkler Modus, Modalità scura, Modo escuro, Modul întunecat, Mørk tilstand, Modo oscuro, Mode sombre, Koyu Mod
role.editor,Editor,编辑者,Editor,Editor,Editor,Editor,Editor,Editor,Éditeur,Editör
role.viewer,Viewer,查看者,Viewer,Viewer,Viewer,Viewer,Viewer,Viewer,Viewer,Viewer
role.owner,Owner,所有者,Owner,Owner,Owner,Owner,Owner,Owner,Owner,Owner
system.language, Language, 语言, Sprache, Lingua, Idioma, Limbă, Sprog, Idioma, Langue, Dil
system.domains, Domains, 域名, Domains, Domini, Domínios, Domenii, Domæner, Dominios, Domaines, Alan Adları
system.account, Account, 账户, Konto, Account, Conta, Cont, Konto, Cuenta, Compte, Hesap
system.favicon, Favicon, 网站图标, Favicon, Favicon, Favicon, Favicon, Favicon, Favicon, Favicon, Favicon
system.connect, Connect, 连接, Verbinden, Collegare, Conectar, Conectați, Forbind, Conectar, Connecter, Bağlan
system.share, Share, 分享, Teilen, Condividi, Compartilhar, Împărtășește, Del, Compartir, Partager, Paylaş
account.firstName,First name,名,Vorname,Nome,Nome próprio,Prenume,Fornavn,Nombre y apellidos,Prénom,İlk isim
account.lastName,Last name,姓,Nachname,Cognome,Sobrenome,Numele de familie,Efternavn,Apellidos,Nom de famille,Soyadı
account.workEmail,Work email,工作邮箱,E-Mail Arbeit,Email di lavoro,E-mail de trabalho,E-mail de lucru,Arbejds-e-mail,Correo electrónico de trabajo,Courriel professionnel,İş e-postası
account.mobileNumber,Mobile number,手机号,Handy-Nummer,Numero di cellulare,Número do celular,Numărul de mobil,Mobilnummer,Número de móvil,Numéro de portable,Cep telefonu numarası
account.companyName,Company name,公司名字,Firmenname,Nome della società,Nome da empresa,Numele companiei,Firmanavn,Nombre de la empresa,Nom de l'entreprise,Şirket adı
settingsPage.myDetails, My Details, 我的详细信息, Meine Details, I miei dettagli, Meus detalhes, Detaliile mele, Mine detaljer, Mis detalles, Mes détails, Detaylarım
settingsPage.onlyYou, Only you, 仅您, Nur Sie, Solo tu, Somente você, Doar tu, Kun dig, Solo tú, Vous seul, Sadece siz
connectDomainPage.connectDomain, Connect {{newline}} {{domainName}}, 连接 {{newline}} {{domainName}}, Verbinden {{newline}} {{domainName}}, Collega {{newline}} {{domainName}}, Conectar {{newline}} {{domainName}}, Conectați {{newline}} {{domainName}}, Forbind {{newline}} {{domainName}}, Conectar {{newline}} {{domainName}}, Connecter {{newline}} {{domainName}}, {{domainName}}'yi bağlayın
connectDomainPage.description, "Allow A4Lcloud QR code generator to auto-short URLs using this domain", "允许 A4Lcloud 二维码生成器使用此域名自动缩短 URL", "Ermöglichen Sie dem A4Lcloud QR-Code-Generator, URLs automatisch mit dieser Domain zu verkürzen", "Consenti al generatore di codici QR A4Lcloud di abbreviare automaticamente gli URL utilizzando questo dominio", "Permita que o gerador de código QR A4Lcloud encurte automaticamente URLs usando este domínio", "Permiteți generatorului de coduri QR A4Lcloud să scurteze automat URL-urile folosind acest domeniu", "Tillad A4Lcloud QR-kodegenerator at forkorte URL'er automatisk ved hjælp af dette domæne", "Permita que el generador de códigos QR de A4Lcloud acorte automáticamente las URL mediante este dominio", "Permettez au générateur de codes QR A4Lcloud de raccourcir automatiquement les URL à l'aide de ce domaine", "A4Lcloud QR kodu oluşturucunun bu alan adını kullanarak URL'leri otomatik olarak kısaltmasına izin verin"
connectDomainPage.copyInstructions, Copy instructions, 复制说明, Anweisungen kopieren, Copia istruzioni, Copiar instruções, Copiați instrucțiunile, Kopier instruktioner, Copiar instrucciones, Copier les instructions, Talimatları kopyala
connectDomainPage.howToConnect, How to connect,,,,,,,,,
connectDomainPage.listElem1, "Navigate to the DNS settings of your domain provider", "导航到您的域名提供商的 DNS 设置", "Navigieren Sie zu den DNS-Einstellungen Ihres Domain-Anbieters", "Passa alle impostazioni DNS del tuo provider di domini", "Navegue até as configurações de DNS do seu provedor de domínio", "Navigați la setările DNS ale furnizorului dvs. de domeniu", "Naviger til DNS-indstillingerne for din domæneudbyder", "Navegue a la configuración de DNS de su proveedor de dominio", "Accédez aux paramètres DNS de votre fournisseur de domaine", "Alan adı sağlayıcınızın DNS ayarlarına gidin"
connectDomainPage.listElem2, "Replace the values of the nameserver with the following fields below", "将域名服务器的值替换为下面的字段", "Ersetzen Sie die Werte des Nameservers durch die folgenden Felder unten", "Sostituisci i valori del nameserver con i seguenti campi sottostanti", "Substitua os valores do servidor de nomes pelos seguintes campos abaixo", "Înlocuiți valorile serverului de nume cu următoarele câmpuri de mai jos", "Udskift værdierne for navneserveren med følgende felter nedenfor", "Reemplace los valores del servidor de nombres con los siguientes campos a continuación", "Remplacez les valeurs du serveur de noms par les champs suivants ci-dessous", "Alan adı sunucusunun değerlerini aşağıdaki alanlarla değiştirin"
connectDomainPage.NameFieldValue, Nameservers Field Values, 域名服务器字段值, Nameserver-Feldwerte, Valori del campo nameserver, Valores do campo nameserver, Valori de câmp nameserver, Navneserverfeltværdier, Valores de campo de servidor de nombres, Valeurs de champ de serveur de noms, Alan adı sunucusu Alan Değerleri
connectDomainPage.rootPrivacyTip, "Switching nameservers to ours will transfer the DNS control to us. This may disrupt subdomains, emails and other settings. Proceed with caution.", "将域名服务器切换到我们的域名服务器将使 DNS 控制权转移到我们手中。这可能会破坏子域、电子邮件和其他设置。请谨慎操作。", "Wenn Sie die Nameserver auf unsere Nameserver umstellen, wird die DNS-Kontrolle an uns übertragen. Dies kann Subdomains, E-Mails und andere Einstellungen stören. Gehen Sie vorsichtig vor.", "Passare i nameserver ai nostri trasferirà il controllo DNS a noi. Questo potrebbe interrompere i sottodomini, le e-mail e altre impostazioni. Procedere con cautela.", "A troca de servidores de nomes para os nossos transferirá o controle DNS para nós. Isso pode interromper subdomínios, e-mails e outras configurações. Prossiga com cautela.", "Comutarea serverelor de nume la ale noastre va transfera controlul DNS către noi. Acest lucru poate perturba subdomeniile, e-mailurile și alte setări. Procedați cu prudență.", "Hvis du skifter navneservere til vores, overføres DNS-kontrollen til os. Dette kan forstyrre underdomæner, e-mails og andre indstillinger. Fortsæt med forsigtighed.", "Cambiar los servidores de nombres a los nuestros transferirá el control de DNS a nosotros. Esto puede interrumpir subdominios, correos electrónicos y otras configuraciones. Proceda con precaución.", "Le passage des serveurs de noms aux nôtres transférera le contrôle DNS à nous. Cela peut perturber les sous-domaines, les e-mails et autres paramètres. Procédez avec prudence.", "Alan adı sunucularını bizimkilerle değiştirmek, DNS kontrolünü bize aktaracaktır. Bu alt alan adlarını, e-postaları ve diğer ayarları bozabilir. Dikkatli olun."
connectDomainPage.subDescription, "Create CNAME records with your domain provider using the following values below", "使用以下值在您的域名提供商中创建 CNAME 记录", "Erstellen Sie CNAME-Einträge mit Ihrem Domain-Anbieter mit den folgenden Werten unten", "Crea record CNAME con il tuo provider di domini utilizzando i seguenti valori sottostanti", "Crie registros CNAME com seu provedor de domínio usando os seguintes valores abaixo", "Creați înregistrări CNAME cu furnizorul dvs. de domeniu folosind următoarele valori de mai jos", "Opret CNAME-poster med din domæneudbyder ved hjælp af følgende værdier nedenfor", "Cree registros CNAME con su proveedor de dominio utilizando los siguientes valores a continuación", "Créez des enregistrements CNAME avec votre fournisseur de domaine en utilisant les valeurs suivantes ci-dessous", "Aşağıdaki değerleri kullanarak alan adı sağlayıcınızda CNAME kayıtları oluşturun"
connectDomainPage.subPrivacyTip, "With some providers you need to omit the dmain at the end of the CNAME record names", "对于某些提供商，您需要在 CNAME 记录名称的末尾省略域名", "Bei einigen Anbietern müssen Sie das dmain am Ende der CNAME-Eintrag-Namen weglassen", "Con alcuni provider è necessario omettere il dmain alla fine dei nomi dei record CNAME", "Com alguns provedores, você precisa omitir o dmain no final dos nomes dos registros CNAME", "Cu unii furnizori trebuie să omiteți dmain la sfârșitul numelor de înregistrări CNAME", "Med nogle udbydere skal du udelade dmain i slutningen af CNAME-postnavnene", "Con algunos proveedores, debe omitir el dmain al final de los nombres de los registros CNAME", "Avec certains fournisseurs, vous devez omettre le dmain à la fin des noms d'enregistrement CNAME", "Bazı sağlayıcılarla, CNAME kayıt adlarının sonunda dmain'i atlamalısınız"
connectDomainPage.addNewDomain, Add new domain, 添加新域名, Neue Domain hinzufügen, Aggiungi nuovo dominio, Adicionar novo domínio, Adăugați un nou domeniu, Tilføj nyt domæne, Agregar nuevo dominio, Ajouter un nouveau domaine, Yeni alan adı ekle
connectDomainPage.enterNewDomain, Enter new domain, 输入新域名, Neue Domain eingeben, Inserisci nuovo dominio, Digite um novo domínio, Introduceți un nou domeniu, Indtast nyt domæne, Introducir nuevo dominio, Entrez un nouveau domaine, Yeni bir alan adı girin
connectDomainPage.removeHttps, Please remove http(s)., 请删除 http(s)。, Bitte entfernen Sie http(s)., Si prega di rimuovere http(s)., Por favor, remova http(s)., Vă rugăm să eliminați http(s)., Fjern http(s)., Por favor, elimine http(s)., Veuillez supprimer http(s)., Lütfen http(s) kaldırın.
signin.signUpOrLogIn,Sign up or log in,注册或登录,Registrieren oder einloggen,Iscriviti o accedi,Registre-se ou faça login,Înscrieți-vă sau conectați-vă,Tilmeld dig eller log ind,Registrarse o iniciar sesión,S'inscrire ou se connecter,Kaydolun veya giriş yapın
signin.sendCode,Send Code,发送验证码,Code senden,Invia il codice,Enviar código,Trimiteți codul,Send kode,Enviar código,Envoyer le code,Kod Gönder
signin.enterCode,Enter Code,填写验证码,Code eingeben,Inserisci il codice,Inserir código,Introduceți codul,Indtast kode,Introducir código,Saisir le code,Kodu Girin
signin.resendCode,Resend code,再次发送验证码,Code erneut senden,Reinvia il codice,Reenviar código,Reînviați codul,Send kode igen,Reenviar código,Renvoyer le code,Kodu yeniden gönder
signin.processDisclaimer,We will process your data as set forth in our <ref>Terms of Service</ref>,我们将按照我们的 <ref>服务条款</ref>所规定的方式处理您的数据。,Wir verarbeiten Ihre Daten wie in unseren <ref>AGB</ref> beschrieben.,Tratteremo i vostri dati come stabilito nei nostri <ref>Termini di servizio</ref>.,Processaremos seus dados conforme estabelecido em nossos <ref>Termos de Serviço</ref>,Vom prelucra datele dvs. așa cum este prevăzut în <ref>Condițiile de utilizare</ref>.,Vi behandler dine data som beskrevet i vores <ref>Tjenestevilkår</ref>.,Trataremos sus datos según lo establecido en nuestras <ref>Condiciones del servicio</ref>.,Nous traiterons vos données comme indiqué dans nos <ref>Termes de service</ref>,Verilerinizi <ref>Hizmet Şartlarımız</ref>da belirtildiği şekilde işleyeceğiz
onboarding.welcome,Welcome,欢迎,Willkommen,Benvenuto,Bem-vindo,Bun venit,Velkommen til,Bienvenido,Bienvenue sur le site,Hoş geldiniz
onboarding.setUpYourAccount,Set up your account,设置账号,Nutzerkonto einrichten,Configura il tuo account,Configure sua conta,Configurați contul dvs.,Opret din konto,Configure su cuenta,Créez votre compte,Hesabınızı oluşturun
onboarding.whatTypeIsYourCompany,What type is your company?,公司类型,Welche Art ist Ihr Unternehmen?,Che tipo di azienda è?,Qual é o tipo de sua empresa?,Ce tip de companie este compania dumneavoastră?,Hvilken type er din virksomhed?,¿Qué tipo de empresa es?,Quel est le type de votre entreprise ?,Şirketinizin türü nedir?
onboarding.labelCustomer,Label Customer,标签标签,Etikettenkunde,Cliente di etichette,Cliente de etiquetas,Etichetă client,Etiketkunde,Cliente de etiquetas,Client d'étiquettes,Etiket Müşterisi
onboarding.printProvider,Print Provider,打印供应商,Druckdienstleister,Fornitore di stampa,Fornecedor de impressão,Furnizor de imprimare,Udbyder af print,Proveedor de impresión,Fournisseur d'impression,Baskı Sağlayıcı
onboarding.solutionProvider,Software Provider,软件公司,Softwareanbieter,Fornitore di software,Provedor de software,Furnizor de software,Software-udbyder,Proveedor de software,Fournisseur de logiciel,Yazılım Sağlayıcı
onboarding.whatIsYourPosition,What is Your Position?,您的职务是？,Was ist Ihre Position?,Qual è la vostra posizione?,Qual é o seu cargo?,Care este poziția dumneavoastră?,Hvad er din position?,¿Cuál es su cargo?,Quelle est votre fonction ?,Pozisyonunuz Nedir?
onboarding.design,Design,设计,Design,Progettazione,Design,Design,Design,Diseño,Conception,Tasarım
onboarding.marketing,Marketing,市场营销,Marketing,Marketing,Marketing,Marketing,Markedsføring,Marketing,Marketing,Pazarlama
onboarding.customerService,Customer Service,客户管理,Kundenbetreuung,Servizio clienti,Atendimento ao cliente,Serviciul Clienți,Kundeservice,Atención al cliente,Service clientèle,Müşteri Hizmetleri
onboarding.accountManagement,Account Management,财务管理,Account Management,Gestione dei conti,Gerenciamento de contas,Managementul conturilor,Account Management,Gestión de cuentas,Gestion des comptes,Hesap Yönetimi
onboarding.it,IT,计算机服务,IT,IT,TI,IT,IT,TI,INFORMATIQUE,IT
onboarding.management,Management,管理者,Verwaltung,Gestione,Gerenciamento de TI,Management,ledelse,Gestión,Gestion de la clientèle,Yönetim
onboarding.printPress,Print Press,印刷服务,Pre-Press,Stampa,Impressão,Presa scrisă,Trykkeri,Imprenta,Imprimerie,Basılı Yayın
onboarding.other, Other, 其他, Andere, Altro, Outros, Altele, Andet, Otro, Autre, Diğer
allLabels.labels,Labels,标签,Etiketten,Etichette,Etiquetas,Etichete,Etiketter,Todas las etiquetas,Étiquettes,Etiketler
addLabelFlow.selectType,Select Type,选择类型,Typ auswählen,Selezionare il tipo,Selecione o tipo,Selectați tipul,Vælg type,Seleccionar tipo,Sélectionner le type,Tip Seçiniz
addLabelFlow.color,Color,颜色,Farbe,Colore,Cor,Culoare,Farve,Color,Couleur,Renk
addLabelFlow.qrCode,QR Code,二维码,QR-Code,Codice QR,Código QR,Cod QR,QR-kode,Código QR,Code QR,QR Kodu
addLabelFlow.editQrCodeDesign,Edit QR Code Design,编辑二维码,QR-Code-Design bearbeiten,Modifica il design del codice QR,Editar design do código QR,Editați designul codului QR,Rediger design af QR-kode,Editar diseño de código QR,Modifier la conception du code QR,QR Kod Tasarımını Düzenle
addLabelFlow.shape,Shape,形状,Form,Forma,Forma,Formă,Form,Forma,Forme,Şekil
addLabelFlow.round,Round,圆形,Rund,Rotondo,Redondo,Rotund,Rund,Redondo,Rond,Yuvarlak
addLabelFlow.square,Square,方形,Rechteckig,Quadrato,Quadrado,Pătrat,Firkantet,Cuadrado,Carré,Kare
addLabelFlow.backgroundColor,Background Color,背景色,Hintergrundfarbe,Colore dello sfondo,Cor de fundo,Culoare de fundal,Baggrundsfarve,Color de fondo,Couleur d'arrière-plan,Arka Plan Rengi
addLabelFlow.transparent,Transparent,透明底色,Transparent,Trasparente,Transparente,Transparent,Gennemsigtig,Transparente,Transparent,Şeffaf
addLabelFlow.fileType,File Type,文件格式,Datei-Typ,Tipo di file,Tipo de arquivo,Tip fișier,File Type,Tipo de archivo,Type de fichier,Dosya Türü
addLabelFlow.pdf,PDF,PDF,PDF,PDF,PDF,PDF,PDF,PDF,PDF,PDF
addLabelFlow.png,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG
addLabelFlow.svg,SVG,SVG,SVG,SVG,SVG,SVG,SVG,SVG,SVG,SVG
addLabelFlow.saveAs, Save as, 另存为, Speichern als, Salva come, Salvar como, Salvați ca, Gem som, Guardar como, Enregistrer sous, Farklı Kaydet
addLabelFlow.imageSize,Image Size,图片尺寸,Größe des Bildes,Dimensione immagine,Tamanho da imagem,Dimensiunea imaginii,Billedstørrelse,Tamaño de la imagen,Taille de l'image,Resim Boyutu
addLabelFlow.53x53,53x53,53x53,53x53,53x53,53x53,53x53,53x53,53x53,53x53,53x53
addLabelFlow.connectQrCode,Connect QR Code,链接二维码,QR-Code verbinden,Collegare il codice QR,Conectar código QR,Conectați codul QR,Forbind QR-kode,Conectar código QR,Connecter le code QR,QR Kodunu Bağlayın
addLabelFlow.theQrLinkForwardsVisitorsToTheQrDestinationTheQrDestinationCanBeChangedAnyTime,The QR link forwards visitors to the QR destination. The QR destination can be changed any time.,二维码的链接将由短链接跳转至目标链接。因此二维码的链接可以随时更改。,Der QR-Link leitet die Besucher zum QR-Ziel weiter. Das QR-Ziel kann jederzeit geändert werden.,Il collegamento QR inoltra i visitatori alla destinazione QR. La destinazione QR può essere modificata in qualsiasi momento.,O link QR encaminha os visitantes para o destino QR. O destino do QR pode ser alterado a qualquer momento.,Legătura QR redirecționează vizitatorii către destinația QR. Destinația QR poate fi schimbată în orice moment.,QR-linket sender besøgende videre til QR-destinationen. QR-destinationen kan ændres når som helst.,El enlace QR redirige a los visitantes al destino QR. El destino QR puede cambiarse en cualquier momento.,Le lien QR dirige les visiteurs vers la destination QR. La destination QR peut être modifiée à tout moment.,QR bağlantısı ziyaretçileri QR hedefine yönlendirir. QR hedefi her zaman değiştirilebilir.
addLabelFlow.fallbackLink,Fallback Link,后备链接,Fallback-Link,Collegamento di riserva,Link substituto,Link de rezervă,Fallback link,Enlace alternativo,Lien de secours,Geri dönüş bağlantısı
addLabelFlow.qrLink,QR Domain,二维码链接,QR-Domain,Collegamento QR,Domain QR,Legătură QR,QR-link,Enlace QR,Lien QR,QR Bağlantısı
addLabelFlow.qrDomain, QR Domain, 二维码链接, QR-Domain, Collegamento QR, Domain QR, Legătură QR, QR-link, Enlace QR, Lien QR, QR Bağlantısı
addLabelFlow.qrDestination,QR Destination,二维码目标链接,QR-Ziel,Destinazione QR,Destino do QR,Destinația QR,QR-destination,Destino QR,Destination QR,QR Hedefi
addLabelFlow.fallbackNote, "In case your target URL is down, we redirect to a fallback URL.", "如果您的目标 URL 处于关闭状态，我们将重定向到备用 URL。", "Wenn Ihre Ziel-URL nicht erreichbar ist, leiten wir auf eine Fallback-URL um.", "Se il tuo URL di destinazione è inattivo, reindirizziamo a un URL di fallback.", "Caso seu URL de destino esteja inativo, redirecionamos para um URL de fallback.", "În cazul în care URL-ul dvs. țintă este inactiv, redirecționăm către un URL de rezervă.", "Hvis din mål-URL er nede, omdirigerer vi til en fallback-URL.", "En caso de que su URL de destino esté inactivo, redirigimos a una URL de respaldo.", "Si votre URL cible est en panne, nous redirigeons vers une URL de secours.", "Hedef URL'niz kapalıysa, yedek URL'ye yönlendiriyoruz."
addLabelFlow.fallbackLink, Fallback link, 备用链接, Fallback-Link, Collegamento di fallback, Link de fallback, Legătură de rezervă, Fallback-link, Enlace de respaldo, Lien de secours, Yedek bağlantı
addLabelFlow.example,Example,示例,Beispiel,Esempio,Exemplo,Exemplu,Eksempel,Ejemplo,Exemple de lien QR,Örnek
addLabelFlow.labelOptions,Label Options,标签选项,Etiketten-Optionen,Opzioni etichetta,Opções de etiqueta,Opțiuni pentru etichetă,Indstillinger for etiketter,Opciones de etiquetas,Options de l'étiquette,Etiket Seçenekleri
addLabelFlow.amountOfLabels,Amount of Labels,标签数量,Anzahl der Etiketten,Quantità di etichette,Quantidade de etiquetas,Cantitatea de etichete,Mængde af etiketter,Cantidad de etiquetas,Quantité d'étiquettes,Etiket Miktarı
addLabelFlow.printingMethod,Printing Method,打印模式,Druckmethode,Metodo di stampa,Método de impressão,Metoda de imprimare,Udskrivningsmetode,Método de impresión,Méthode d'impression,Baskı Yöntemi
addLabelFlow.offset,Offset,胶印,Offsetdruck,Offset,Offset,Offset,Offset,Offset,Offset,Ofset
addLabelFlow.flexo,Flexo,柔印,Flexodruck,Flesso,Flexo,Flexo,Flexo,Flexo,Flexo,Flekso
addLabelFlow.digital,Digital,数码,Digital,Digitale,Digital,Digitală,Digital,Digital,numérique,Dijital
addLabelFlow.flexoInkjet,Flexo + Inkjet,柔印+喷墨,Flexo + Tintenstrahl,Flexo + Inkjet,Flexo + Jato de tinta,Flexo + jet de cerneală,Flexo + Inkjet,Flexografía + inyección de tinta,Flexo + jet d'encre,Flekso + Inkjet
addLabelFlow.qrType,QR Type,二维码类型,QR-Typ,Tipo QR,Tipo QR,Tip QR,QR-type,Tipo QR,Type QR,QR Tipi
addLabelFlow.single,Single,单个,Einzeln,Singolo,Único,Single,Enkelt,Único,Unique,Tek kişilik
addLabelFlow.everyLabelSharesTheSameQrCode,Every label shares the same QR code,每个标签都有相同的二维码,Jedes Etikett hat den gleichen QR-Code,Ogni etichetta condivide lo stesso codice QR,Cada etiqueta compartilha o mesmo código QR,Fiecare etichetă are același cod QR,Hver etiket har den samme QR-kode,Cada etiqueta comparte el mismo código QR,Chaque étiquette partage le même code QR,Her etiket aynı QR kodunu paylaşır
